indicator_label,indicator_name,indicator_category,indicator_target,indicator_GAP_category,evaluator_name,evaluator_flag,evaluator_comments,connection_human_health,connection_animal_health,connection_plant_health,connection_environmnental_health,AT1_health_systems_usability,AT1_health_systems_action,AT2_pandemic_zoonoses_usability,AT2_pandemic_zoonoses_action,AT3_endemic_zoonoses_usability,AT3_endemic_zoonoses_action,AT4_food_safety_usability,AT4_food_safety_action,AT5_antimicrobial_resistance_usability,AT5_antimicrobial_resistance_action,AT6_environment_usability,AT6_environment_action
1.1,Percentage of land and sea area covered by biodiversity-inclusive spatial plans,headline,target 1,Land and sea use,Gabriel Munoz Acevedo,,"Area alone may not cover key areas for biodiversity monitoring. biodiversity inclusive plans can provision more recreational areas where people increase activity and reduce stress, leading to positive outcomes in mental and physical health. Important to notice that magnitude of effects of increased biodiversity planning for human health may differ btw populations of cities vs rural areas as well as develop and non-developed countries. ",potentially connected,directly connected,directly connected,directly connected,directly usable,action 1.1,directly usable,action 2.3,directly usable,action 3.1,not usable,none,not usable,none,directly usable,action 6.1
1.b,"Number of countries using participatory, integrated and biodiversity-inclusive spatial planning and/or effective management processes addressing land- and sea-use change to bring the loss of areas of high biodiversity importance close to zero by 2030",binary,target 1,Land and sea use,Gabriel Munoz Acevedo,,A higher number of countries can reflect greater engagement with biodiversity conservation overall and a greater political understanding of the connections between biodiversity and human health. ,indirectly connected,directly connected,directly connected,directly connected,usable after adaptation,action 1.3,directly usable,action 2.3,directly usable,action 3.2,not usable,none,not usable,none,directly usable,action 6.3
1.CY.1,Proportion of transboundary basin area with an operational arrangement for water cooperation,complementary,target 1,Land and sea use,Gabriel Munoz Acevedo,,"More cooperation could ensure permanence and quality of water monitoring efforts. Changes in water ecology may be reported earlier, leading to greater water quality and better population health. Simbolizes greater political engagement of populations between political entities across boundaries, higher likelihood of regional water-health related project implementation. ",indirectly connected,indirectly connected,indirectly connected,indirectly connected,not usable,none,directly usable,action 2.3,directly usable,action 3.2,usable after adaptation,action 4.3,not usable,none,directly usable,action 6.3
2.1,Area under restoration,headline,target 2,Land and sea use,Elodie Eiffener,,"Indicator = positive for (future) H. Direct indicator of ecosystem state. Benefits for H at a later stage (after restoration). Examples: better food security, habitat creation for wildlife, plant diversity, resilience",directly connected,directly connected,directly connected,directly connected,usable after adaptation,action 1.2,directly usable,action 2.1,not usable,none,usable after adaptation,action 4.1,not usable,none,directly usable,action 6.1
2.CT.1,Proportion of land that is degraded over total land area,component,target 2,Land and sea use,Gabriel Munoz Acevedo,,"Environmental degradation influences food security, water quality, and disiease emergence. e.g. Leshmania is more prevalent in recently deforested areas compared to native forests in the tropics.  ",directly connected,directly connected,directly connected,directly connected,directly usable,action 1.2,directly usable,action 2.2,directly usable,action 3.2,not usable,none,not usable,none,directly usable,action 6.1
2.CY.1,Global Ecosystem Restoration Index,complementary,target 2,Land and sea use,Gabriel Munoz Acevedo,,Its hard to asses whether ecosystem - pop health relationships are restored after an initial change of state. Legacy effects of environmental degradation may still hunt human communities after the ecosystem is restored.,potentially connected,indirectly connected,indirectly connected,directly connected,directly usable,action 1.2,directly usable,action 2.3,directly usable,action 3.2,not usable,none,not usable,none,directly usable,action 6.3
2.CY.2,Proportion of key biodiversity areas in favourable condition,complementary,target 2,Land and sea use,Gabriel Munoz Acevedo,,"KBAs are mainly defined with ecological criteria towards conserving rare or endemic species and pristine habitats. This geographical regions may not cover the ranges with species influencing human health, or with continous contact with human societies. The extent of its favourable condition may therefore be tangent to human health",potentially connected,indirectly connected,indirectly connected,indirectly connected,usable after adaptation,action 1.1,directly usable,action 2.2,directly usable,action 3.2,not usable,none,not usable,none,directly usable,action 6.3
3.1,Coverage of protected areas and other effective area-based conservation measures,headline,target 3,Land and sea use,Gabriel Munoz Acevedo,,"Area based conservation measures can reduce stress to animal populations. Protected areas tend to be away from human settlements, the links to human health may be contingent on the species inhabiting the protected areas",indirectly connected,directly connected,directly connected,directly connected,directly usable,action 1.2,usable after adaptation,action 2.3,usable after adaptation,action 3.2,not usable,none,not usable,none,directly usable,action 6.1
3.CT.1,Protected Area Connectedness Index,component,target 3,Land and sea use,Gabriel Munoz Acevedo,,"Connectedness among protected areas is key to mantain population health and genetic connectivity, potentially reducing population stress and zoonotic thread emergence",indirectly connected,indirectly connected,indirectly connected,directly connected,directly usable,action 1.3,directly usable,action 2.1,not usable,none,not usable,none,not usable,none,directly usable,action 6.3
3.CT.2,Species Protection Index,component,target 3,Land and sea use,Elodie Eiffener,,"Indicator = positive for H. Measures adequacy of protected areas for species H. Examples: Food security, protection of extinction, habitat, climate resilience",directly connected,directly connected,directly connected,directly connected,usable after adaptation,action 1.2,not usable,none,not usable,none,usable after adaptation,action 4.1,not usable,none,directly usable,action 6.1
3.CY.1,"Rate of protected area downgrading, downsizing and degazettement events",complementary,target 3,Land and sea use,Gabriel Munoz Acevedo,,Downgraded protection of protected area can trigger environmental degradation,potentially connected,indirectly connected,indirectly connected,indirectly connected,not usable,none,directly usable,action 2.1,directly usable,action 3.2,not usable,none,not usable,none,directly usable,action 6.1
3.CY.2,International Union for Conservation of Nature Green List of Protected and Conserved Areas Standard,complementary,target 3,Land and sea use,Gabriel Munoz Acevedo,,"Quality of protected area can help animal-plant populations, but also invite humans to visit the area more often, with the added nature benefits to the population. ",potentially connected,indirectly connected,indirectly connected,indirectly connected,usable after adaptation,action 1.2,not usable,none,usable after adaptation,action 3.2,not usable,none,not usable,none,directly usable,action 6.4
3.CY.3,Protected Area Isolation Index (PAI),complementary,target 3,Land and sea use,Gabriel Munoz Acevedo,,"Better connected protected areas reduce stress in animal populations, thereby reducing zoonotic emergence likelihood",indirectly connected,directly connected,directly connected,directly connected,directly usable,action 1.3,directly usable,action 2.2,directly usable,action 3.2,not usable,none,not usable,none,directly usable,action 6.3
